waveform_id,mass1,mass2,mass_ratio,spin1,chi1x,chi1y,chi1z,spin2,chi2x,chi2y,chi2z,alpha,beta,gamma,massf,spinf,chifx,chify,chifz,eccentricity
SXS:BBH:0815,0.666711237012,0.33338034451,1.9998516648962232,0.7998856933185626,-0.628393668231,0.493768747829,0.0336295074345,0.7996993320315878,-0.0883404563927,-0.066433525268,-0.792023719428,1.576933271281904,1.52874103954117,3.0029310765089137,0.962587639799,0.676408807450487,-0.154188985202,0.196099061252,0.628728709234,0.0001227
SXS:BBH:0816,0.500040489166,0.49999704165,1.0000868955461348,0.7998492090689625,0.559564587777,0.570703058454,0.0307286255054,4.616093719745568e-05,1.99679852827e-06,2.23293892674e-07,-4.61171883187e-05,1.5754641987052649,1.5323688467905732,3.098051948410728,0.950273448308,0.7090926922870027,0.116871527325,0.00581151490616,0.699370944957,0.0006527
SXS:BBH:0817,0.666688216779,0.333316375384,2.0001664064987392,0.7999373405723249,0.385884897909,0.699946747231,0.0326671922336,2.333432301189674e-05,-1.24835621043e-06,-1.35128374339e-06,2.32616910271e-05,1.606572439306308,1.529947778899542,0.0789212702628075,0.958793778851,0.7078852966614833,0.168009039794,0.160259023802,0.6687238601,0.0001526
SXS:BBH:0818,0.500039366403,0.500041337334,0.9999960584638652,0.7998857694573335,0.441702615137,0.666492723992,0.0224386458417,0.7999416650593536,0.0471335974516,-0.0586086968555,0.796398212041,1.571379482819975,1.5427403334389949,0.0941585198363045,0.936243453049,0.8211303041724266,0.123076235754,0.0479949919837,0.81043426468,0.0007033
SXS:BBH:0819,0.666670672146,0.333365842926,1.9998169767320355,0.7999961266973358,0.256558026791,0.756874109114,0.0362403721385,0.7998426419555971,0.0911043888027,-0.072191232272,0.79135116618,1.574839733389339,1.5254801339851485,0.1458442394023877,0.951281942572,0.7363932328901769,0.138773384739,0.165976053552,0.703895511267,0.0004562
SXS:BBH:0820,0.666708846211,0.333357439136,1.9999819051255745,0.7998815420748722,0.385802592478,0.696537625111,0.0761720276352,0.7998131285512801,0.737158238915,-0.300271040151,-0.078333095492,1.4622911318467344,1.4754226685826135,1.6688928272249557,0.958047501251,0.7082495904056804,0.194750130154,0.104826940498,0.672830722887,0.0003814
SXS:BBH:0821,0.666664726455,0.333359052474,1.9998398768756875,0.799998259410163,0.403560641028,0.690669555296,-0.0105635912258,0.7997750349232782,-0.665497223221,-0.440654883876,0.0507624436754,2.682087699791229,1.5840012283085412,1.5072827303281888,0.959173013243,0.6842916350319852,0.118873886057,0.178672748928,0.649769258875,
SXS:BBH:0822,0.500045266197,0.50003270717,1.0000251164110263,0.79983930260466,0.56521039054,0.565852964271,0.00951563147941,0.799917148073368,0.200792357365,0.770470814691,0.0769714019297,0.5356396548577469,1.5588991170284034,1.4744229951835863,0.947629459746,0.7694113574045072,0.231983791097,0.0884605263867,0.728252767137,
SXS:BBH:0823,0.666752541208,0.3333720837,2.000025118503946,0.7998214087320594,0.372910147626,0.706938301493,0.0298420097494,0.7998638515156261,-0.128220964348,0.780154496328,0.121245730326,0.6550682485943321,1.5334768232124485,1.4186267841184657,0.956273327278,0.7293360778839736,0.193438116784,0.194682458718,0.675730382435,0.000456
SXS:BBH:0824,0.666633362391,0.333386531658,1.999580964101024,0.8000277186410595,0.588373665861,0.541930358329,0.0131250385412,0.7995128103469417,-0.0525865808503,0.0802353124776,-0.793736530629,1.5674763361181605,1.554389861031778,3.021314095845062,0.96087059405,0.6653966022946791,0.199777080485,0.1434257321,0.61828053166,0.0001757
