waveform_id,mass1,mass2,mass_ratio,symmetric_mass_ratio,delta,chi1z,chi2z,chi_s,chi_a,massf,chifz
SXS:BBH:0149,0.5000000021800953,0.4999999978199047,1.0000000087203813,0.25,0.0,-0.199980174996,-0.199980162465,-0.1999801687305,-7.1374516436018e-09,0.9564806340169839,0.624220099484
SXS:BBH:0150,0.5,0.5,1.0,0.25,0.0,0.20003497356,0.20003497599,0.20003497477499999,-1.2150000033850361e-09,0.9455077006241731,0.746430981675
SXS:BBH:0152,0.5,0.5,1.0,0.25,0.0,0.599963312828,0.599963311736,0.5999633122820001,5.459999674606308e-10,0.92685007834055,0.857807828792
SXS:BBH:0153,0.5000000003564614,0.4999999996435387,1.0000000014258454,0.25,0.0,0.849825672617,0.849825668474,0.8498256705455001,2.6773600558804844e-09,0.9060693100072139,0.91908645144
SXS:BBH:0155,0.5000000124375451,0.4999999875624549,1.0000000497501818,0.24999999999999983,2.5809568279517847e-08,0.799873613923,0.799873563675,0.7998735887990006,4.50209277635949e-08,0.9112055833226324,0.907524193263
SXS:BBH:0156,0.5000023099907233,0.4999976900092768,1.0000092400055816,0.24999999999466394,4.6199848152373356e-06,-0.949046933081,-0.949046999999,-0.9490469665398454,-4.35112037722174e-06,0.9682638673112004,0.375665735812
SXS:BBH:0157,0.5000000067305359,0.499999993269464,1.0000000269221443,0.2499999999999999,2.1073424255447017e-08,0.949586305767,0.949586327518,0.9495863166424997,1.9069497092516485e-09,0.893508054007751,0.940850794894
SXS:BBH:0158,0.5000000020415125,0.4999999979584875,1.00000000816605,0.25,0.0,0.969503999999,0.969504000001,0.969504,3.957509098206913e-09,0.8904782003223969,0.944962777322
SXS:BBH:0160,0.5000000009743525,0.4999999990256476,1.0000000038974097,0.25,0.0,0.899737307658,0.899737301628,0.8997373046430002,4.7683224591033024e-09,0.9002300000618729,0.930211070316
SXS:BBH:0176,0.5000000089345633,0.49999999106543686,1.0000000357382535,0.25,0.0,0.959555089678,0.959555155081,0.9595551223794996,-1.5555088161978148e-08,0.892011212565926,0.942909840271
SXS:BBH:0180,0.5000000001355,0.49999999986449994,1.000000000542,0.24999999999999994,1.4901161193847656e-08,-3.67050658542e-09,-2.1572848954e-09,-2.9138957406150415e-09,-7.566108457996658e-10,0.9516148549027833,0.686429826547
SXS:BBH:0181,0.8571418084157427,0.14285819158425725,5.999948612748633,0.12244972868153291,0.7142836168314854,-4.34440583246e-06,-9.28140729749e-06,-5.0496969336030145e-06,-2.3978468098503152e-06,0.9854365644584824,0.372483068145
SXS:BBH:0185,0.9090041203181484,0.09099587968185166,9.989508574413412,0.08271562956277763,0.8180082406362967,1.2811356145e-05,-1.43388986515e-05,1.0340794826206069e-05,1.2950356219130388e-05,0.9917306234444406,0.260847097572
SXS:BBH:0188,0.8778612998446423,0.12213870015535769,7.187413151834942,0.1072208380797173,0.7557225996892847,1.55253061236e-06,-2.44547691377e-05,-1.6239671736630871e-06,4.349780256492983e-06,0.9880194839456902,0.330594648834
SXS:BBH:0189,0.9016454697387013,0.0983545302612987,9.16729984214553,0.08868091663837797,0.8032909394774026,1.18264398763e-05,-6.78784793694e-06,9.995640342280162e-06,1.133087153292588e-05,0.9908803919732653,0.278100977487
SXS:BBH:0191,0.714888896638407,0.28511110336159295,2.5074046159884107,0.203822762101528,0.42977779327681415,-4.65916814044e-05,6.04868629585e-05,-1.60623994747403e-05,-5.055335194869911e-05,0.9667732424266557,0.580102908705
SXS:BBH:0192,0.8680697917988056,0.1319302082011944,6.579765192782792,0.11452462836518389,0.7361395835976112,2.50980216757e-05,-5.07105242186e-05,1.5096584432435204e-05,2.847708446873842e-05,0.9868173761787713,0.350818591644
SXS:BBH:0194,0.6027827464995398,0.3972172535004601,1.5175140082348955,0.2394357070220113,0.20556549299907992,3.19251523287e-05,-8.56914900576e-05,-1.4794207325931892e-05,5.328206933215182e-05,0.9554700258254128,0.662799939962
SXS:BBH:0195,0.8858560555672895,0.11414394443271035,7.760867735646857,0.10111510438205268,0.7717121111345793,1.31920507257e-05,-4.00789427319e-05,7.111489408600426e-06,1.6261026632823977e-05,0.989021225971902,0.313432822616
SXS:BBH:0196,0.9062161456147185,0.09378385438528147,9.66281618040366,0.0849884430419218,0.812432291229437,1.67300203258e-06,-2.73073909536e-05,-1.0448909232641376e-06,4.0770938304046126e-06,0.9914198242118162,0.267427369325
SXS:BBH:0197,0.8466817755103496,0.15331822448965043,5.52238181943924,0.12981174652899158,0.6933635510206991,-3.70291220576e-05,-1.52420333188e-05,-3.3688764295368734e-05,-2.901500132326771e-05,0.9840767313183071,0.392396694178
SXS:BBH:0198,0.5459625646660807,0.4540374353339191,1.202461564131944,0.24788744264931628,0.0919251293321629,-5.04190424195e-05,8.54380825816e-05,1.1265178187839112e-05,-6.631899760255538e-05,0.9524056376041612,0.681750207816
SXS:BBH:0199,0.8972120903193819,0.10278790968061809,8.728770660938562,0.0922225553041072,0.7944241806387639,-1.11252347674e-06,-3.31258564929e-05,-4.403107059380603e-06,2.4067680311900396e-06,0.990369225955267,0.288243788235
SXS:BBH:0200,0.7659448511319645,0.23405514886803552,3.2724973359326435,0.1792733361563973,0.5318897022639288,-5.02970994357e-05,-1.09455792359e-05,-4.108667351715231e-05,-3.59629351621414e-05,0.9733228535780268,0.520263643681
SXS:BBH:0201,0.6984501201290039,0.30154987987099613,2.3162009562988475,0.21061754982078393,0.39690024025800774,6.22617712351e-05,-4.15578818604e-05,3.0954967315903486e-05,5.601851588129682e-05,0.9647860908874674,0.596285137586
SXS:BBH:0202,0.8749952682797916,0.12500473172020843,6.999697181369485,0.10937854876776715,0.7499905365595831,0.600008862767,-1.70983203915e-05,0.5250027784761104,0.5250070532180173,0.9797994039097327,0.737040767751
SXS:BBH:0208,0.8333356991998191,0.1666643008001809,5.000085172402526,0.13888731163896773,0.6666713983996382,-0.899959478954,-2.85313334399e-06,-0.7499688371611103,-0.7499678861301625,0.9882092283954835,-0.128169181908
SXS:BBH:0209,0.5000372525782687,0.4999627474217313,1.0001490214159388,0.2499999986122454,7.450515702084211e-05,-0.899729295006,-0.500003348036,-0.6998812123431255,-0.19991511713484014,0.9651542931628518,0.460643536111
SXS:BBH:0210,0.5000413254909648,0.49995867450903525,1.000165315627358,0.24999999829220376,8.265098275906587e-05,-0.899697323271,-8.80018021692e-06,-0.4498902417955406,-0.44988144234266725,0.9612079626864891,0.543329758302
SXS:BBH:0211,0.5000018430452772,0.4999981569547227,1.0000073722082836,0.24999999999660313,3.6861178069718523e-06,-0.899685955589,0.89978825606,4.783372305272593e-05,-0.8997371056359555,0.9509501850894669,0.683515731462
SXS:BBH:0212,0.5,0.5,1.0,0.25,0.0,-0.799862764462,-0.79986276568,-0.799862765071,6.090000170821952e-10,0.9665029240562609,0.426852256758
SXS:BBH:0213,0.5000009331546585,0.4999990668453414,1.0000037326256006,0.2499999999991292,1.8663369785381648e-06,-0.79984246617,0.799896216638,2.5382430395626265e-05,-0.7998693413538425,0.9510942884497516,0.684135542002
SXS:BBH:0214,0.5000055594248947,0.4999944405751052,1.0000222379468393,0.24999999996909275,1.1118857671965982e-05,-0.624943094889,-0.249991599977,-0.43746943194767507,-0.18748061158972384,0.9610850130967576,0.547769643033
SXS:BBH:0215,0.5000000315785778,0.49999996842142225,1.000000126314319,0.249999999999999,6.322027276634104e-08,-0.599956872698,-0.599956970486,-0.599956921591997,1.1002427413586702e-08,0.963732073844763,0.494212734663
SXS:BBH:0216,0.5000046061980802,0.4999953938019198,1.0000184249620587,0.24999999997878292,9.21240113011863e-06,-0.5999577114,6.12476786775e-06,-0.2999785568683364,-0.2999846815797804,0.9585027268449625,0.592150451131
